RESPOSTA_1.0	RESPOSTA_2.0	RESPOSTA_3.0	RESPOSTA_4.0	RESPOSTA_5.0	RESPOSTA_6.0
0	0	0	0	1	0
0	0	0	1	0	0
1	0	0	0	0	0
1	0	0	0	0	0
0	1	0	0	0	0
1	0	0	0	0	0
0	0	1	0	0	0
0	0	0	0	0	1
0	1	0	0	0	0
0	0	0	0	1	0
0	0	0	0	1	0
0	1	0	0	0	0
1	0	0	0	0	0
0	0	1	0	0	0
0	1	0	0	0	0
0	0	0	0	0	1
0	0	0	0	0	1
0	0	1	0	0	0
0	0	0	0	0	1
0	0	1	0	0	0
0	0	0	0	0	1
1	0	0	0	0	0
1	0	0	0	0	0
0	1	0	0	0	0
0	1	0	0	0	0
0	1	0	0	0	0
0	1	0	0	0	0
0	0	0	0	1	0
0	1	0	0	0	0
0	0	1	0	0	0
0	1	0	0	0	0
0	0	1	0	0	0
0	1	0	0	0	0
0	1	0	0	0	0
0	1	0	0	0	0
0	1	0	0	0	0
0	1	0	0	0	0
0	0	0	0	0	1
0	0	0	1	0	0
1	0	0	0	0	0
0	1	0	0	0	0
0	0	1	0	0	0
0	0	0	0	0	1
1	0	0	0	0	0
0	0	1	0	0	0
0	0	1	0	0	0
0	1	0	0	0	0
0	0	0	0	1	0
1	0	0	0	0	0
0	1	0	0	0	0
0	0	1	0	0	0
0	0	0	1	0	0
0	0	0	0	0	1
0	0	0	1	0	0
0	0	1	0	0	0
0	0	1	0	0	0
0	1	0	0	0	0
0	1	0	0	0	0
0	1	0	0	0	0
0	1	0	0	0	0
0	0	1	0	0	0
0	1	0	0	0	0
0	0	0	0	1	0
0	1	0	0	0	0
0	0	1	0	0	0
0	0	0	0	0	1
1	0	0	0	0	0
0	1	0	0	0	0
0	0	1	0	0	0
1	0	0	0	0	0
0	1	0	0	0	0
0	1	0	0	0	0
0	0	0	1	0	0
0	0	0	0	0	1
0	0	0	1	0	0
0	1	0	0	0	0
1	0	0	0	0	0
0	1	0	0	0	0
0	1	0	0	0	0
0	0	0	1	0	0
0	0	0	0	0	1
0	0	1	0	0	0
0	1	0	0	0	0
0	0	0	0	0	1
0	1	0	0	0	0
0	0	1	0	0	0
0	1	0	0	0	0
0	0	1	0	0	0
0	1	0	0	0	0
0	0	1	0	0	0
0	0	1	0	0	0
0	0	1	0	0	0
0	1	0	0	0	0
0	1	0	0	0	0
0	0	0	0	0	1
0	0	0	0	1	0
0	0	0	1	0	0
1	0	0	0	0	0
0	0	0	1	0	0
0	0	0	0	0	1
1	0	0	0	0	0
0	0	0	0	1	0
0	1	0	0	0	0
0	0	0	0	0	1
0	1	0	0	0	0
0	0	0	0	1	0
0	1	0	0	0	0
0	0	1	0	0	0
0	0	1	0	0	0
0	1	0	0	0	0
0	1	0	0	0	0
1	0	0	0	0	0
0	0	0	0	1	0
0	1	0	0	0	0
0	1	0	0	0	0
0	0	1	0	0	0
0	0	0	0	1	0
0	1	0	0	0	0
0	0	0	0	1	0
0	0	1	0	0	0
0	0	0	0	0	1
0	0	0	1	0	0
0	0	0	1	0	0
1	0	0	0	0	0
0	1	0	0	0	0
0	1	0	0	0	0
0	0	1	0	0	0
0	0	1	0	0	0
0	1	0	0	0	0
0	1	0	0	0	0
0	1	0	0	0	0
0	1	0	0	0	0
0	0	0	0	1	0
0	0	0	0	1	0
0	1	0	0	0	0
0	0	1	0	0	0
0	0	1	0	0	0
0	1	0	0	0	0
0	0	1	0	0	0
0	0	0	0	0	1
0	1	0	0	0	0
0	0	0	0	0	1
0	1	0	0	0	0
0	1	0	0	0	0
0	0	0	0	0	1
0	0	0	0	1	0
1	0	0	0	0	0
1	0	0	0	0	0
1	0	0	0	0	0
0	0	1	0	0	0
0	0	0	0	0	1
0	0	0	0	1	0
0	1	0	0	0	0
0	1	0	0	0	0
0	1	0	0	0	0
0	1	0	0	0	0
1	0	0	0	0	0
0	0	0	0	0	1
0	0	1	0	0	0
0	0	1	0	0	0
0	0	0	0	0	1
0	1	0	0	0	0
0	0	1	0	0	0
1	0	0	0	0	0
0	1	0	0	0	0
0	0	0	0	1	0
0	0	0	1	0	0
0	0	0	0	0	1
0	1	0	0	0	0
0	0	0	0	0	1
0	1	0	0	0	0
1	0	0	0	0	0
0	0	0	0	0	1
0	0	1	0	0	0
0	1	0	0	0	0
0	0	0	0	1	0
0	1	0	0	0	0
0	0	0	0	1	0
0	1	0	0	0	0
0	1	0	0	0	0
0	0	0	1	0	0
0	0	0	0	1	0
0	0	1	0	0	0
0	0	0	1	0	0
0	0	0	0	1	0
0	0	0	0	1	0
0	1	0	0	0	0
0	0	1	0	0	0
0	1	0	0	0	0
0	0	0	0	1	0
0	1	0	0	0	0
0	1	0	0	0	0
0	1	0	0	0	0
0	0	0	0	1	0
0	1	0	0	0	0
1	0	0	0	0	0
0	1	0	0	0	0
1	0	0	0	0	0
0	0	0	0	1	0
1	0	0	0	0	0
0	1	0	0	0	0
0	1	0	0	0	0
0	1	0	0	0	0
0	0	0	0	1	0
0	1	0	0	0	0
0	1	0	0	0	0
0	1	0	0	0	0
0	1	0	0	0	0
0	1	0	0	0	0
0	0	0	1	0	0
1	0	0	0	0	0
0	0	0	0	1	0
0	0	1	0	0	0
0	1	0	0	0	0
0	1	0	0	0	0
0	0	0	1	0	0
0	1	0	0	0	0
1	0	0	0	0	0
0	1	0	0	0	0
0	1	0	0	0	0
1	0	0	0	0	0
0	1	0	0	0	0
0	0	1	0	0	0
0	0	0	1	0	0
0	0	1	0	0	0
0	0	0	0	0	1
0	0	1	0	0	0
0	0	1	0	0	0
0	0	0	0	1	0
0	0	0	0	1	0
0	0	0	1	0	0
0	1	0	0	0	0
0	1	0	0	0	0
0	0	0	0	1	0
0	0	0	1	0	0
0	0	0	0	1	0
0	0	0	0	1	0
0	0	0	0	0	1
0	0	0	1	0	0
0	1	0	0	0	0
0	0	0	1	0	0
0	0	0	0	0	1
0	0	0	0	1	0
0	0	0	0	1	0
1	0	0	0	0	0
0	1	0	0	0	0
0	0	1	0	0	0
0	0	0	1	0	0
0	1	0	0	0	0
0	0	0	0	0	1
0	1	0	0	0	0
0	0	0	0	1	0
0	0	1	0	0	0
0	0	0	0	0	1
0	1	0	0	0	0
1	0	0	0	0	0
0	0	0	0	1	0
0	0	1	0	0	0
1	0	0	0	0	0
0	0	0	0	1	0
0	1	0	0	0	0
0	0	0	0	0	1
0	0	1	0	0	0
0	1	0	0	0	0
0	1	0	0	0	0
0	0	1	0	0	0
0	1	0	0	0	0
0	1	0	0	0	0
0	0	0	1	0	0
0	1	0	0	0	0
0	0	0	0	0	1
0	1	0	0	0	0
1	0	0	0	0	0
0	0	0	0	1	0
0	0	0	1	0	0
0	0	0	0	0	1
0	1	0	0	0	0
0	1	0	0	0	0
0	0	0	0	1	0
0	0	0	0	1	0
0	1	0	0	0	0
0	0	0	0	1	0
0	0	1	0	0	0
0	0	0	0	0	1
0	1	0	0	0	0
0	0	0	0	1	0
0	0	0	1	0	0
0	1	0	0	0	0
0	0	0	0	1	0
0	0	0	0	1	0
0	0	0	0	0	1
0	0	1	0	0	0
0	1	0	0	0	0
0	0	0	0	1	0
0	0	0	0	0	1
1	0	0	0	0	0
0	0	1	0	0	0
0	0	1	0	0	0
0	0	1	0	0	0
0	1	0	0	0	0
0	0	0	0	0	1
0	1	0	0	0	0
0	1	0	0	0	0
0	1	0	0	0	0
0	1	0	0	0	0
0	1	0	0	0	0
0	1	0	0	0	0
0	1	0	0	0	0
0	0	0	0	0	1
0	0	0	0	1	0
0	1	0	0	0	0
0	0	0	0	1	0
0	1	0	0	0	0
0	0	0	0	1	0
1	0	0	0	0	0
0	0	0	1	0	0
0	0	0	1	0	0
0	1	0	0	0	0
0	1	0	0	0	0
0	1	0	0	0	0
0	0	1	0	0	0
0	1	0	0	0	0
0	0	1	0	0	0
0	0	1	0	0	0
0	1	0	0	0	0
0	0	0	0	1	0
0	0	0	0	1	0
0	1	0	0	0	0
0	0	0	0	1	0
0	0	0	0	1	0
0	1	0	0	0	0
0	0	1	0	0	0
0	1	0	0	0	0
0	1	0	0	0	0
0	1	0	0	0	0
0	0	0	1	0	0
0	0	1	0	0	0
0	1	0	0	0	0
0	0	0	1	0	0
0	0	0	0	1	0
0	0	0	0	1	0
1	0	0	0	0	0
0	1	0	0	0	0
1	0	0	0	0	0
1	0	0	0	0	0
0	0	0	0	0	1
0	0	0	0	0	1
0	1	0	0	0	0
0	0	0	1	0	0
0	0	0	0	1	0
0	1	0	0	0	0
0	1	0	0	0	0
0	0	0	0	1	0
0	1	0	0	0	0
0	0	0	0	1	0
0	1	0	0	0	0
0	1	0	0	0	0
0	0	0	0	0	1
0	0	1	0	0	0
0	1	0	0	0	0
0	1	0	0	0	0
0	0	0	0	0	1
0	0	0	0	1	0
1	0	0	0	0	0
0	1	0	0	0	0
0	0	1	0	0	0
0	1	0	0	0	0
0	0	1	0	0	0
0	0	0	1	0	0
0	0	0	0	0	1
0	1	0	0	0	0
0	0	0	0	1	0
0	1	0	0	0	0
0	1	0	0	0	0
1	0	0	0	0	0
0	1	0	0	0	0
0	0	0	0	1	0
0	1	0	0	0	0
0	1	0	0	0	0
1	0	0	0	0	0
0	0	0	0	0	1
0	1	0	0	0	0
0	0	0	0	1	0
0	1	0	0	0	0
0	0	1	0	0	0
1	0	0	0	0	0
0	1	0	0	0	0
0	0	0	0	1	0
0	0	0	0	1	0
0	1	0	0	0	0
0	1	0	0	0	0
0	1	0	0	0	0
0	0	0	0	1	0
0	0	1	0	0	0
1	0	0	0	0	0
1	0	0	0	0	0
0	0	0	0	1	0
0	0	0	1	0	0
0	1	0	0	0	0
1	0	0	0	0	0
0	1	0	0	0	0
0	0	0	0	1	0
0	1	0	0	0	0
0	0	0	0	1	0
0	0	0	0	1	0
0	1	0	0	0	0
1	0	0	0	0	0
1	0	0	0	0	0
0	0	0	0	1	0
0	0	0	0	1	0
0	1	0	0	0	0
0	0	0	0	1	0
0	0	0	0	0	1
1	0	0	0	0	0
0	0	0	0	1	0
0	1	0	0	0	0
0	1	0	0	0	0
0	0	0	0	1	0
0	0	1	0	0	0
0	0	0	0	1	0
0	1	0	0	0	0
0	1	0	0	0	0
0	1	0	0	0	0
0	1	0	0	0	0
0	0	0	0	0	1
0	0	1	0	0	0
0	0	1	0	0	0
0	0	1	0	0	0
0	0	1	0	0	0
0	0	1	0	0	0
1	0	0	0	0	0
0	0	0	0	0	1
0	0	1	0	0	0
0	1	0	0	0	0
0	0	1	0	0	0
0	1	0	0	0	0
1	0	0	0	0	0
0	0	0	0	0	1
0	1	0	0	0	0
0	0	1	0	0	0
0	0	0	0	0	1
1	0	0	0	0	0
0	1	0	0	0	0
0	1	0	0	0	0
0	1	0	0	0	0
1	0	0	0	0	0
0	1	0	0	0	0
0	1	0	0	0	0
0	1	0	0	0	0
0	0	1	0	0	0
1	0	0	0	0	0
1	0	0	0	0	0
0	0	1	0	0	0
0	1	0	0	0	0
0	0	0	0	0	1
0	1	0	0	0	0
0	1	0	0	0	0
0	1	0	0	0	0
0	0	1	0	0	0
0	1	0	0	0	0
0	1	0	0	0	0
0	0	0	1	0	0
1	0	0	0	0	0
1	0	0	0	0	0
0	0	1	0	0	0
0	1	0	0	0	0
0	1	0	0	0	0
1	0	0	0	0	0
0	0	0	1	0	0
0	1	0	0	0	0
0	1	0	0	0	0
0	1	0	0	0	0
0	1	0	0	0	0
0	0	0	0	0	1
0	0	1	0	0	0
0	1	0	0	0	0
0	0	1	0	0	0
0	0	0	0	1	0
0	1	0	0	0	0
0	1	0	0	0	0
0	1	0	0	0	0
0	0	0	0	1	0
0	0	0	0	1	0
0	0	0	0	0	1
1	0	0	0	0	0
0	0	0	0	1	0
0	0	0	1	0	0
1	0	0	0	0	0
0	0	0	0	0	1
0	0	0	1	0	0
0	0	1	0	0	0
0	0	1	0	0	0
0	0	0	0	0	1
0	0	1	0	0	0
1	0	0	0	0	0
0	1	0	0	0	0
0	0	0	0	1	0
1	0	0	0	0	0
0	0	0	0	0	1
0	0	0	0	0	1
0	1	0	0	0	0
0	1	0	0	0	0
0	0	1	0	0	0
0	0	0	0	1	0
0	1	0	0	0	0
0	0	1	0	0	0
0	0	0	0	1	0
0	0	0	1	0	0
0	1	0	0	0	0
0	1	0	0	0	0
0	1	0	0	0	0
0	0	0	0	1	0
0	1	0	0	0	0
0	0	1	0	0	0
1	0	0	0	0	0
0	1	0	0	0	0
0	1	0	0	0	0
0	0	0	0	0	1
0	0	0	0	1	0
0	1	0	0	0	0
0	0	0	0	1	0
0	0	1	0	0	0
0	0	0	0	0	1
0	0	1	0	0	0
0	0	0	0	1	0
0	0	0	0	0	1
0	1	0	0	0	0
0	0	0	0	0	1
0	1	0	0	0	0
1	0	0	0	0	0
0	1	0	0	0	0
0	1	0	0	0	0
1	0	0	0	0	0
0	0	0	0	1	0
1	0	0	0	0	0
0	1	0	0	0	0
0	1	0	0	0	0
0	1	0	0	0	0
0	0	1	0	0	0
0	1	0	0	0	0
0	0	0	0	0	1
0	0	1	0	0	0
0	1	0	0	0	0
0	1	0	0	0	0
0	0	0	0	0	1
0	0	1	0	0	0
0	0	0	0	1	0
0	0	0	0	1	0
0	0	1	0	0	0
0	1	0	0	0	0
1	0	0	0	0	0
0	1	0	0	0	0
0	0	0	0	1	0
0	0	0	0	1	0
0	1	0	0	0	0
0	0	1	0	0	0
0	0	0	1	0	0
0	1	0	0	0	0
0	0	1	0	0	0
0	1	0	0	0	0
0	1	0	0	0	0
0	0	0	0	1	0
0	0	1	0	0	0
0	1	0	0	0	0
0	0	0	1	0	0
0	1	0	0	0	0
1	0	0	0	0	0
0	0	0	0	1	0
1	0	0	0	0	0
0	0	0	1	0	0
0	1	0	0	0	0
0	1	0	0	0	0
1	0	0	0	0	0
0	0	0	0	0	1
0	1	0	0	0	0
0	0	1	0	0	0
0	1	0	0	0	0
0	1	0	0	0	0
0	0	0	0	1	0
0	0	0	0	1	0
0	0	0	1	0	0
0	0	1	0	0	0
0	1	0	0	0	0
0	1	0	0	0	0
1	0	0	0	0	0
0	0	1	0	0	0
0	0	0	0	1	0
0	1	0	0	0	0
0	0	1	0	0	0
0	0	1	0	0	0
0	1	0	0	0	0
1	0	0	0	0	0
0	1	0	0	0	0
1	0	0	0	0	0
0	0	1	0	0	0
0	0	1	0	0	0
0	0	0	0	1	0
0	0	0	0	1	0
0	1	0	0	0	0
1	0	0	0	0	0
0	0	0	1	0	0
0	1	0	0	0	0
0	0	0	0	0	1
0	1	0	0	0	0
0	0	0	0	0	1
0	1	0	0	0	0
0	0	0	0	1	0
0	1	0	0	0	0
1	0	0	0	0	0
1	0	0	0	0	0
0	0	0	0	1	0
0	0	0	1	0	0
0	1	0	0	0	0
0	1	0	0	0	0
1	0	0	0	0	0
0	1	0	0	0	0
1	0	0	0	0	0
1	0	0	0	0	0
0	1	0	0	0	0
0	1	0	0	0	0
0	1	0	0	0	0
0	0	1	0	0	0
0	0	1	0	0	0
0	1	0	0	0	0
0	1	0	0	0	0
1	0	0	0	0	0
1	0	0	0	0	0
0	0	0	1	0	0
0	1	0	0	0	0
0	1	0	0	0	0
0	0	0	0	1	0
1	0	0	0	0	0
0	0	0	0	1	0
0	0	1	0	0	0
0	0	0	0	1	0
1	0	0	0	0	0
0	1	0	0	0	0
0	1	0	0	0	0
0	1	0	0	0	0
0	0	0	1	0	0
1	0	0	0	0	0
0	0	1	0	0	0
0	1	0	0	0	0
1	0	0	0	0	0
0	1	0	0	0	0
0	0	0	0	0	1
0	0	0	1	0	0
0	1	0	0	0	0
1	0	0	0	0	0
0	1	0	0	0	0
1	0	0	0	0	0
0	0	0	0	1	0
0	1	0	0	0	0
0	0	0	0	1	0
0	0	0	0	0	1
0	1	0	0	0	0
0	0	0	0	1	0
0	0	0	1	0	0
0	1	0	0	0	0
1	0	0	0	0	0
0	0	0	0	0	1
0	0	0	1	0	0
1	0	0	0	0	0
0	0	0	0	1	0
0	0	0	0	0	1
0	1	0	0	0	0
0	0	0	0	1	0
0	1	0	0	0	0
0	0	1	0	0	0
0	1	0	0	0	0
0	0	1	0	0	0
0	0	0	0	1	0
0	1	0	0	0	0
0	0	0	0	0	1
0	0	0	0	1	0
0	0	0	0	0	1
0	0	1	0	0	0
0	1	0	0	0	0
0	0	0	1	0	0
0	0	0	0	1	0
0	0	1	0	0	0
0	0	0	1	0	0
0	0	1	0	0	0
0	1	0	0	0	0
0	0	1	0	0	0
0	0	0	0	0	1
0	1	0	0	0	0
0	1	0	0	0	0
1	0	0	0	0	0
1	0	0	0	0	0
0	0	0	0	1	0
1	0	0	0	0	0
0	0	1	0	0	0
0	1	0	0	0	0
0	1	0	0	0	0
0	1	0	0	0	0
0	0	0	0	0	1
0	1	0	0	0	0
0	1	0	0	0	0
0	1	0	0	0	0
0	1	0	0	0	0
0	0	0	0	0	1
0	1	0	0	0	0
0	0	0	0	0	1
0	0	0	0	0	1
1	0	0	0	0	0
0	1	0	0	0	0
0	1	0	0	0	0
0	1	0	0	0	0
0	0	1	0	0	0
0	0	0	0	0	1
1	0	0	0	0	0
0	0	1	0	0	0
